Date,Predicted,Coin,Model
2023-06-29 11:00:00,30599.213987748994,ETH,Prophet
2023-06-29 12:00:00,30577.344103376858,ETH,Prophet
2023-06-29 13:00:00,30554.004354388948,ETH,Prophet
2023-06-29 14:00:00,30537.569793059025,ETH,Prophet
2023-06-29 15:00:00,30528.92960778482,ETH,Prophet
2023-06-29 16:00:00,30521.379925992806,ETH,Prophet
2023-06-29 17:00:00,30507.645520289178,ETH,Prophet
2023-06-29 18:00:00,30487.026645708425,ETH,Prophet
2023-06-29 19:00:00,30465.696044219017,ETH,Prophet
2023-06-29 20:00:00,30450.065950243297,ETH,Prophet
2023-06-29 21:00:00,30440.019849694476,ETH,Prophet
2023-06-29 22:00:00,30428.843622257817,ETH,Prophet
2023-06-29 23:00:00,30409.923645388164,ETH,Prophet
2023-06-30 00:00:00,30383.505475684804,ETH,Prophet
2023-06-30 01:00:00,30356.780101696026,ETH,Prophet
2023-06-30 02:00:00,30337.257576768134,ETH,Prophet
2023-06-30 03:00:00,30326.05915462254,ETH,Prophet
2023-06-30 04:00:00,30317.733782553303,ETH,Prophet
2023-06-30 05:00:00,30306.55864091511,ETH,Prophet
2023-06-30 06:00:00,30292.74101822406,ETH,Prophet
2023-06-30 07:00:00,30282.10148716063,ETH,Prophet
2023-06-30 08:00:00,30279.52186216041,ETH,Prophet
2023-06-30 09:00:00,30282.911779267386,ETH,Prophet
2023-06-30 10:00:00,30284.106606064182,ETH,Prophet
2023-06-30 11:00:00,30276.20793551811,ETH,Prophet
2023-06-30 12:00:00,30260.29479580521,ETH,Prophet
2023-06-30 13:00:00,30244.811327985084,ETH,Prophet
2023-06-30 14:00:00,30238.010335827043,ETH,Prophet
2023-06-30 15:00:00,30240.63781356115,ETH,Prophet
2023-06-30 16:00:00,30245.827590417503,ETH,Prophet
2023-06-30 17:00:00,30246.125113272454,ETH,Prophet
2023-06-30 18:00:00,30240.63656907141,ETH,Prophet
2023-06-30 19:00:00,30235.328354437417,ETH,Prophet
2023-06-30 20:00:00,30236.396695293537,ETH,Prophet
2023-06-30 21:00:00,30243.502136126255,ETH,Prophet
2023-06-30 22:00:00,30249.70349438467,ETH,Prophet
2023-06-30 23:00:00,30248.15882321988,ETH,Prophet
2023-07-01 00:00:00,30238.886962402426,ETH,Prophet
2023-07-01 01:00:00,30228.856635523214,ETH,Prophet
2023-07-01 02:00:00,30225.362866486594,ETH,Prophet
2023-07-01 03:00:00,30229.321803208397,ETH,Prophet
2023-07-01 04:00:00,30235.089769743747,ETH,Prophet
2023-07-01 05:00:00,30236.766203635732,ETH,Prophet
2023-07-01 06:00:00,30234.397737858366,ETH,Prophet
2023-07-01 07:00:00,30233.663365161327,ETH,Prophet
2023-07-01 08:00:00,30239.324140787234,ETH,Prophet
2023-07-01 09:00:00,30249.191242558478,ETH,Prophet
2023-07-01 10:00:00,30255.02507785231,ETH,Prophet
2023-07-01 11:00:00,30249.87667654015,ETH,Prophet
2023-07-01 12:00:00,30234.7994909794,ETH,Prophet
2023-07-01 13:00:00,30218.23734780809,ETH,Prophet
2023-07-01 14:00:00,30208.4679527446,ETH,Prophet
2023-07-01 15:00:00,30206.287055026318,ETH,Prophet
2023-07-01 16:00:00,30204.902415276625,ETH,Prophet
2023-07-01 17:00:00,30196.95660691784,ETH,Prophet
2023-07-01 18:00:00,30181.674865481273,ETH,Prophet
2023-07-01 19:00:00,30165.163009532145,ETH,Prophet
2023-07-01 20:00:00,30153.775255816112,ETH,Prophet
2023-07-01 21:00:00,30147.346671253326,ETH,Prophet
2023-07-01 22:00:00,30139.12488314732,ETH,Prophet
2023-07-01 23:00:00,30122.468619350868,ETH,Prophet
2023-07-02 00:00:00,30097.60668889145,ETH,Prophet
2023-07-02 01:00:00,30071.724393774508,ETH,Prophet
2023-07-02 02:00:00,30052.3371789373,ETH,Prophet
2023-07-02 03:00:00,30040.582643249927,ETH,Prophet
2023-07-02 04:00:00,30031.036768399998,ETH,Prophet
2023-07-02 05:00:00,30018.014058034245,ETH,Prophet
2023-07-02 06:00:00,30001.768881949058,ETH,Prophet
2023-07-02 07:00:00,29988.177997626004,ETH,Prophet
2023-07-02 08:00:00,29982.187738448694,ETH,Prophet
2023-07-02 09:00:00,29981.779719272137,ETH,Prophet
2023-07-02 10:00:00,29978.867778552623,ETH,Prophet
2023-07-02 11:00:00,29966.63742334993,ETH,Prophet
2023-07-02 12:00:00,29946.255922778597,ETH,Prophet
2023-07-02 13:00:00,29926.258816137433,ETH,Prophet
2023-07-02 14:00:00,29914.992255001263,ETH,Prophet
